skill_match_score,avg_rating,recommendation_rate,completion_rate,bid_success_rate,category_experience,response_time_hours,portfolio_quality,budget_match_score,delivery_time_days,freelancer_tenure_days,project_complexity,client_history_score,past_collaboration,skills_count_match,workload_factor,mentorship_program_completed,is_successful_match
0.0444,3.4613,0.9121,0.8373,0.4361,14,27.63,6.9511,0.7272,8.1,463.0,2.5373,0.5000,0,0,0.6540,0,1
0.0616,3.9193,0.9274,0.9055,0.3116,13,4.06,9.7735,0.8954,23.0,669.0,6.8427,0.5000,0,0,0.4012,0,0
0.9239,3.2228,0.8350,0.8834,0.4407,10,5.07,8.5831,0.7439,22.8,513.0,3.6036,0.5000,0,4,0.7811,0,0
0.2419,4.2172,0.8666,0.9588,0.1574,13,18.53,7.3345,0.7108,13.2,97.0,8.4610,0.5866,0,1,0.5426,1,1
0.6444,3.0192,0.7229,0.8927,0.3683,11,14.03,4.7886,0.7873,4.8,525.0,9.0312,0.5000,0,3,0.7926,0,1
0.0989,4.1124,0.8762,0.8145,0.1473,10,33.57,7.8853,0.7901,26.5,914.0,1.3664,0.5000,0,0,0.1368,0,0
0.8314,3.0490,0.9654,0.8054,0.4571,6,4.56,6.6315,0.8575,15.6,840.0,4.8708,0.5000,0,4,0.1249,0,0
0.7490,3.7411,0.8398,0.8861,0.4224,13,24.39,3.1066,0.8701,6.9,886.0,9.2051,0.5000,0,3,0.5277,0,0
0.8980,4.4749,0.8143,0.8406,0.1078,7,7.79,1.5445,0.9860,23.3,883.0,6.1968,0.5000,0,4,0.8412,1,1
0.4692,3.9870,0.8666,0.8005,0.3243,9,41.22,8.9881,0.9342,18.1,744.0,4.9208,0.2919,0,2,0.3874,1,1
0.9669,4.9791,0.0076,0.7239,0.3606,2,33.35,4.3076,0.9842,6.6,690.0,0.7930,0.5000,1,4,0.0342,0,1
0.9321,3.3641,0.9396,0.8772,0.1482,10,26.77,4.1755,0.8384,24.3,600.0,2.2546,0.5000,1,4,0.8744,0,0
0.2500,3.3500,0.9712,0.8147,0.4630,3,43.75,7.5610,0.7298,16.1,744.0,6.1830,0.0824,0,1,0.2053,0,0
0.7455,3.3816,0.8009,0.9588,0.1936,7,40.37,8.4278,0.9166,16.0,800.0,2.0494,0.5000,0,3,0.8592,0,0
0.2760,3.5564,0.8942,0.9033,0.2458,9,49.55,6.8073,0.9529,26.2,520.0,7.6329,0.5000,0,1,0.1289,0,0
0.4170,4.9541,0.4689,0.8425,0.1433,0,9.10,2.3775,0.7914,11.0,528.0,9.9457,0.5000,0,2,0.1862,1,0
0.0497,3.8633,0.9500,0.9522,0.4212,8,31.97,8.7080,0.8012,27.0,126.0,5.5335,0.5000,0,0,0.2067,0,0
0.4503,3.8273,0.7617,0.8677,0.2474,2,14.99,6.7033,0.7502,24.2,866.0,0.8482,0.5000,0,2,0.1915,1,0
0.0424,3.2010,0.0414,0.6466,0.4928,0,48.63,1.8933,0.7415,21.8,267.0,8.7591,0.5000,0,0,0.9704,0,0
0.3187,3.1208,0.6636,0.8827,0.2962,0,20.53,7.7586,0.7025,9.3,400.0,6.0744,0.5000,0,1,0.5952,0,1
0.7385,3.0001,0.7022,0.9936,0.2469,3,49.44,5.1926,0.8278,10.3,88.0,6.7859,0.5000,0,3,0.1731,0,1
0.4713,4.6749,0.6718,0.9706,0.3922,0,13.00,7.1898,0.9424,16.3,407.0,8.6554,0.5000,0,2,0.4454,0,0
0.4181,4.6538,0.5864,0.9075,0.3874,2,35.93,0.9458,0.9146,11.2,163.0,5.7693,0.5000,0,2,0.9075,0,0
0.9536,3.6033,0.5329,0.9205,0.3957,1,19.83,4.5732,0.7389,17.0,40.0,3.7892,0.5000,0,4,0.3865,0,1
0.0782,3.4271,0.9155,0.9977,0.1879,9,25.56,8.9942,0.8743,8.8,123.0,1.5878,0.5230,0,0,0.1438,0,0
0.9901,3.1314,0.1326,0.7589,0.2044,2,9.02,0.8394,0.8009,5.4,994.0,1.9047,0.5000,0,4,0.6940,0,0
0.5698,4.1664,0.0876,0.7242,0.4359,0,8.74,3.6065,0.9913,18.1,502.0,6.5088,0.5000,0,2,0.3964,0,1
0.8265,4.3898,0.8372,0.8294,0.1293,8,9.42,8.0292,0.8762,4.0,38.0,0.0626,0.5000,0,4,0.1582,1,1
0.8782,4.5634,0.9037,0.8244,0.2028,13,43.78,5.4390,0.8789,20.1,36.0,7.7967,0.5000,0,4,0.3260,1,0
0.9476,4.1666,0.0945,0.8293,0.1624,0,25.04,0.9996,0.8056,27.1,358.0,7.2245,0.5000,0,4,0.3359,1,1
0.3400,4.7709,0.5107,0.8227,0.2106,1,47.87,4.6905,0.9388,23.2,268.0,2.0106,0.5000,0,1,0.8176,0,1
0.4347,4.9468,0.9355,0.9284,0.3569,3,28.32,9.0574,0.7617,24.8,217.0,4.7820,0.5000,0,2,0.4675,0,1
0.9830,3.5189,0.8885,0.9211,0.3470,10,13.57,6.7254,0.9561,6.8,305.0,0.7339,0.9177,0,4,0.3625,0,0
0.9727,3.2006,0.8718,0.8017,0.2483,5,5.93,2.7625,0.7953,12.1,94.0,7.3355,0.5000,0,4,0.5581,0,0
0.8657,3.6903,0.0687,0.7605,0.4879,0,21.08,6.2128,0.7396,27.2,296.0,3.8399,0.5000,0,4,0.4948,1,1
0.6091,3.4269,0.1803,0.7127,0.3142,1,46.32,3.0876,0.9360,13.4,73.0,7.9144,0.5000,0,3,0.2285,0,1
0.9269,3.4456,0.0534,0.7077,0.3444,2,11.21,1.1278,0.7003,26.3,304.0,8.5559,0.5000,1,4,0.6728,1,1
0.4403,3.6102,0.1500,0.8750,0.2911,1,26.80,9.8001,0.8730,11.5,633.0,0.7868,0.5000,0,2,0.2845,1,1
0.3381,4.2727,0.6647,0.8032,0.1359,1,21.66,9.8967,0.7079,26.3,203.0,1.4523,0.5000,0,1,0.7561,0,0
0.9298,3.3348,0.3465,0.7662,0.4010,1,10.30,8.5112,0.8471,26.1,784.0,2.1876,0.5000,1,4,0.5614,0,1
0.2076,3.8575,0.9009,0.9583,0.2112,7,32.46,5.8578,0.9404,13.8,245.0,6.2026,0.5000,0,1,0.1340,0,1
0.2635,3.0467,0.1813,0.7274,0.2340,0,46.75,4.8709,0.7634,23.2,379.0,2.1194,0.5000,0,1,0.7944,1,1
0.5678,3.7003,0.7111,0.8014,0.4123,3,41.82,7.4164,0.8887,24.8,611.0,5.4616,0.5000,0,2,0.7032,0,0
0.8951,3.9720,0.1712,0.7724,0.4436,2,15.28,8.2724,0.7678,17.7,852.0,1.3998,0.9953,0,4,0.7839,0,1
0.0465,4.9730,0.0645,0.7955,0.3374,1,4.98,8.8723,0.8996,21.1,908.0,5.0874,0.5000,0,0,0.3085,1,1
0.5308,3.2111,0.1722,0.8920,0.4814,2,13.53,8.9413,0.8467,4.1,616.0,8.8196,0.5000,0,2,0.6567,0,0
0.7605,4.0904,0.4558,0.9285,0.4188,2,31.35,1.0452,0.7959,5.0,807.0,9.5296,0.5000,0,3,0.1334,0,0
0.5527,4.3771,0.9962,0.8302,0.1994,10,7.79,0.1775,0.7848,22.6,439.0,0.7156,0.4942,0,2,0.7633,0,1
0.9826,3.9087,0.2397,0.6475,0.4396,1,9.66,0.9237,0.8608,16.2,773.0,7.4853,0.5000,0,4,0.9681,0,0
0.3560,4.1159,0.9856,0.9401,0.4117,9,41.74,6.8263,0.7745,8.7,328.0,5.2641,0.5000,0,1,0.1509,0,1
0.3073,3.2551,0.7415,0.9060,0.1356,9,30.06,4.9073,0.8547,3.9,805.0,7.8979,0.6831,0,1,0.2053,0,1
0.6829,4.0049,0.9165,0.8582,0.1666,6,46.69,7.8481,0.7029,22.3,39.0,5.9767,0.5000,1,3,0.8406,1,1
0.0702,3.8395,0.8035,0.8232,0.2154,2,40.07,8.8321,0.8375,11.6,635.0,4.5582,0.5000,0,0,0.4680,0,0
0.7625,3.6916,0.9915,0.8314,0.1631,12,29.59,7.1781,0.8519,13.9,418.0,8.1527,0.5000,0,3,0.0004,1,0
0.7577,3.9443,0.3453,0.8465,0.2990,0,45.89,5.8634,0.7481,16.8,247.0,4.0572,0.5000,0,3,0.2120,0,1
